('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         451930 function calls (436616 primitive calls) in 10.159 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      112    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
    108/4    0.000    0.000    0.227    0.057 <frozen importlib._bootstrap_external>:842(exec_module)
      148    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      108    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      956    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      428    0.000    0.000    0.001    0.000 _htmlparser.py:195(handle_data)
      101    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
  566/537    0.000    0.000    0.001    0.000 typing.py:720(__hash__)
       16    0.000    0.000    0.001    0.000 enum.py:200(<setcomp>)
  169/140    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
  136/131    0.000    0.000    0.004    0.000 css_parser.py:397(freeze)
       80    0.000    0.000    0.003    0.000 parser.py:123(set_cdata_mode)
      148    0.000    0.000    0.043    0.000 sre_compile.py:598(_code)
      826    0.000    0.000    0.001    0.000 typing.py:646(_is_dunder)
     2297    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      472    0.000    0.000    0.001    0.000 enum.py:631(__new__)
     2665    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      108    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      854    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      130    0.000    0.000    0.001    0.000 typing.py:120(_type_check)
      129    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
     1356    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
        9    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      324    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
     1344    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      488    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      148    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       10    0.000    0.000    0.001    0.000 request.py:444(add_handler)
     1639    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       67    0.000    0.000    0.010    0.000 _htmlparser.py:107(handle_startendtag)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      112    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.144    0.144 __init__.py:120(__init__)
      430    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      120    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      226    0.000    0.000    0.000    0.000 types.py:171(__get__)
      273    0.000    0.000    0.001    0.000 css_parser.py:346(match)
      543    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      265    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      289    0.000    0.000    0.125    0.000 re.py:250(compile)
      518    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      133    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
      233    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      112    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
      399    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      220    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
      226    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       68    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.039    0.039 dammit.py:67(EntitySubstitution)
      120    0.000    0.000    0.000    0.000 typing.py:172(_collect_type_vars)
      300    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       42    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       82    0.000    0.000    0.001    0.000 enum.py:932(__or__)
      362    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        1    0.000    0.000    0.002    0.002 tokenize.py:1(<module>)
     1510    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      148    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      296    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
       49    0.000    0.000    0.001    0.000 typing.py:689(copy_with)
      362    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      300    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       36    0.000    0.000    0.000    0.000 element.py:2011(__init__)
        5    0.000    0.000    0.291    0.058 __init__.py:1(<module>)
      148    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      922    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      115    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      255    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
    163/4    0.000    0.000    0.226    0.057 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    42/30    0.000    0.000    0.016    0.001 css_parser.py:581(parse_pseudo_class)
      133    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
