('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         453379 function calls (438066 primitive calls) in 9.638 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  169/140    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
      165    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
    163/4    0.000    0.000    0.229    0.057 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      160    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      155    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
      153    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      153    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
  150/149    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      149    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      148    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      148    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      148    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      148    0.001    0.000    0.075    0.001 sre_parse.py:937(parse)
      148    0.000    0.000    0.001    0.000 enum.py:938(__and__)
      148    0.001    0.000    0.008    0.000 sre_compile.py:536(_compile_info)
      148    0.000    0.000    0.042    0.000 sre_compile.py:598(_code)
      148    0.001    0.000    0.118    0.001 sre_compile.py:759(compile)
      148    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      139    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      137    0.000    0.000    0.000    0.000 typing.py:329(__hash__)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      136    0.000    0.000    0.001    0.000 css_parser.py:371(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
  136/131    0.000    0.000    0.004    0.000 css_parser.py:397(freeze)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      133    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      133    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
    133/3    0.001    0.000    0.230    0.077 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    133/3    0.001    0.000    0.231    0.077 <frozen importlib._bootstrap>:986(_find_and_load)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
      132    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      130    0.000    0.000    0.001    0.000 typing.py:120(_type_check)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
      129    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      129    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
    129/4    0.001    0.000    0.230    0.057 <frozen importlib._bootstrap>:650(_load_unlocked)
      125    0.000    0.000    0.000    0.000 enum.py:506(<lambda>)
      124    0.000    0.000    0.000    0.000 os.py:748(encode)
      124    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
      124    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
      124    0.000    0.000    0.000    0.000 os.py:693(__iter__)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      121    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      120    0.000    0.000    0.000    0.000 typing.py:172(_collect_type_vars)
      120    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      120    0.000    0.000    0.007    0.000 sre_parse.py:96(closegroup)
      119    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
    118/1    0.001    0.000    9.638    9.638 {built-in method builtins.exec}
      115    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      115    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      115    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      114    0.001    0.000    0.002    0.000 typing.py:659(__init__)
      112    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
      112    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      112    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
      110    0.004    0.000    6.944    0.063 {method 'read' of '_io.BufferedReader' objects}
      108    0.002    0.000    0.002    0.000 {built-in method io.open_code}
      108    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
      108    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      108    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:914(get_code)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_filename)
      108    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
      108    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      108    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      108    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(create_module)
    108/4    0.000    0.000    0.229    0.057 <frozen importlib._bootstrap_external>:842(exec_module)
      102    0.000    0.000    0.000    0.000 typing.py:324(__eq__)
      101    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      101    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      101    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      100    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      100    0.000    0.000    0.000    0.000 re.py:270(escape)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       95    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       95    0.001    0.000    0.003    0.000 sre_compile.py:492(_get_charset_prefix)
       87    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       82    0.000    0.000    0.001    0.000 enum.py:932(__or__)
       80    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
       80    0.000    0.000    0.000    0.000 element.py:1570(__eq__)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       77    0.001    0.000    0.007    0.000 css_parser.py:474(parse_attribute_selector)
       76    0.000    0.000    0.000    0.000 typing.py:711(__eq__)
       76    0.000    0.000    0.000    0.000 element.py:1363(_all_strings)
       73    0.000    0.000    0.000    0.000 element.py:388(_last_descendant)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(<genexpr>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       68    0.000    0.000    0.005    0.000 _htmlparser.py:107(handle_startendtag)
       68    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       64    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       63    0.000    0.000    0.000    0.000 typing.py:358(<genexpr>)
       61    0.000    0.000    0.000    0.000 dammit.py:166(<listcomp>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       59    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
       54    0.000    0.000    0.000    0.000 typing.py:685(<genexpr>)
       53    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       52    0.000    0.000    0.004    0.000 css_parser.py:1113(<listcomp>)
    52/14    0.001    0.000    0.021    0.001 css_parser.py:925(parse_selectors)
       51    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       51    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       51    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       51    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
       51    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
       50    0.000    0.000    0.000    0.000 enum.py:223(<genexpr>)
       50    0.000    0.000    0.000    0.000 enum.py:748(name)
       49    0.000    0.000    0.001    0.000 typing.py:689(copy_with)
       46    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       46    0.000    0.000    0.001    0.000 typing.py:802(__getitem__)
       45    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       44    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       42    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
    42/30    0.000    0.000    0.016    0.001 css_parser.py:581(parse_pseudo_class)
       42    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
       42    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
       41    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
    38/29    0.000    0.000    0.015    0.001 css_parser.py:741(parse_pseudo_open)
       38    0.000    0.000    0.001    0.000 typing.py:1435(_alias)
       38    0.000    0.000    0.000    0.000 element.py:293(<listcomp>)
       38    0.000    0.000    0.001    0.000 element.py:274(get_text)
       37    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       37    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       36    0.003    0.000    0.037    0.001 element.py:779(_find_all)
       36    0.000    0.000    0.038    0.001 element.py:1871(find_all)
       36    0.000    0.000    0.001    0.000 element.py:2011(__init__)
       36    0.000    0.000    0.000    0.000 element.py:2278(__init__)
       35    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       35    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
    35/21    0.000    0.000    0.001    0.000 typing.py:347(__getitem__)
       34    0.000    0.000    0.000    0.000 typing.py:830(<genexpr>)
       34    0.000    0.000    0.008    0.000 element.py:1846(find)
    34/24    0.000    0.000    0.114    0.005 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       33    0.000    0.000    0.000    0.000 typing.py:183(<listcomp>)
       28    0.000    0.000    0.000    0.000 __init__.py:554(__missing__)
       27    0.000    0.000    0.000    0.000 typing.py:206(_check_generic)
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       26    0.000    0.000    0.001    0.000 abc.py:84(__new__)
       25    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
