('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         529436 function calls (509921 primitive calls) in 1.704 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7552    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     2290    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      188    0.001    0.000    0.101    0.001 sre_parse.py:937(parse)
      425    0.001    0.000    0.003    0.000 element.py:934(__new__)
       77    0.001    0.000    0.007    0.000 css_parser.py:474(parse_attribute_selector)
      268    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
     1856    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
     2251    0.001    0.000    0.003    0.000 css_parser.py:319(match)
      356    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      826    0.001    0.000    0.002    0.000 typing.py:762(__setattr__)
     1262    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
      300    0.001    0.000    0.002    0.000 enum.py:75(__setitem__)
      257    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      185    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
     3927    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      257    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
     1435    0.001    0.000    0.001    0.000 element.py:1489(get)
     1262    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     2120    0.001    0.000    0.008    0.000 {built-in method builtins.next}
      156    0.001    0.000    1.044    0.007 ssl.py:1230(recv_into)
     4716    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      320    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
    178/3    0.001    0.000    0.316    0.105 <frozen importlib._bootstrap_external>:842(exec_module)
      589    0.001    0.000    0.006    0.000 enum.py:313(__call__)
      178    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
       17    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      188    0.001    0.000    0.002    0.000 enum.py:938(__and__)
     1973    0.001    0.000    0.001    0.000 element.py:1906(descendants)
  540/526    0.001    0.000    0.005    0.000 typing.py:255(inner)
     2473    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      114    0.001    0.000    0.002    0.000 typing.py:659(__init__)
      414    0.001    0.000    0.001    0.000 sre_parse.py:258(getwhile)
     1261    0.001    0.000    0.001    0.000 _markupbase.py:40(getpos)
     1488    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      178    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      579    0.001    0.000    0.001    0.000 enum.py:631(__new__)
     2824    0.001    0.000    0.001    0.000 element.py:1532(__bool__)
  202/201    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      851    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
1193/1128    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      308    0.001    0.000    0.002    0.000 css_parser.py:250(css_unescape)
      534    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      360    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
     1193    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
      136    0.000    0.000    0.001    0.000 css_parser.py:371(__init__)
      188    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      188    0.000    0.000    0.058    0.000 sre_compile.py:598(_code)
      425    0.000    0.000    0.001    0.000 __init__.py:495(string_container)
       10    0.000    0.000    0.002    0.000 enum.py:500(<listcomp>)
       16    0.000    0.000    0.001    0.000 enum.py:200(<setcomp>)
  207/173    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
  566/537    0.000    0.000    0.001    0.000 typing.py:720(__hash__)
      844    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      427    0.000    0.000    0.001    0.000 _htmlparser.py:195(handle_data)
      466    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      185    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
  136/131    0.000    0.000    0.004    0.000 css_parser.py:397(freeze)
      218    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      156    0.000    0.000    1.043    0.007 ssl.py:1090(read)
     2352    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      826    0.000    0.000    0.001    0.000 typing.py:646(_is_dunder)
        1    0.000    0.000    0.002    0.002 six.py:21(<module>)
      130    0.000    0.000    0.001    0.000 typing.py:120(_type_check)
      188    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      185    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
       79    0.000    0.000    0.002    0.000 parser.py:123(set_cdata_mode)
      363    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:376(cached)
       13    0.000    0.000    0.425    0.033 __init__.py:1(<module>)
      621    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      441    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      220    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      198    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      335    0.000    0.000    0.000    0.000 types.py:171(__get__)
      712    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      429    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      721    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
      169    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
       66    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     1360    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
     1639    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      621    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      178    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      741    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      256    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      178    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
     1342    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      273    0.000    0.000    0.001    0.000 css_parser.py:346(match)
       96    0.000    0.000    0.001    0.000 enum.py:932(__or__)
